id	hex	temp	tone	light_or_dark	text_on_bg	Emotinal	Marketing	Analytical / design
45	#D5F6D5	cool	ultra-light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
46	#1B7E34	cool	deep	dark	white	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
47	#28BD4D	cool	dark	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
48	#57DB78	cool	mid	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
49	#96E9AB	cool	light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
50	#D5F6DD	cool	ultra-light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
51	#1B7E4D	cool	deep	dark	white	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
52	#28BD73	cool	dark	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
53	#57DB99	cool	mid	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
54	#96E9BF	cool	light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
55	#D5F6E6	cool	ultra-light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
56	#1B7E65	cool	deep	dark	white	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
57	#28BD98	cool	dark	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
58	#57DBBA	cool	mid	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
59	#96E9D4	cool	light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
60	#D5F6EE	cool	ultra-light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
61	#1B7E7E	cool	deep	dark	white	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
62	#28BDBD	cool	dark	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
63	#57DBDB	cool	mid	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
64	#96E9E9	cool	light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
65	#D5F6F6	cool	ultra-light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
66	#1B657E	cool	deep	dark	white	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
67	#2898BD	cool	dark	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
68	#57BADB	cool	mid	dark	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
69	#96D4E9	cool	light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
70	#D5EEF6	cool	ultra-light	light	black	calm, trustworthy, cool	trustworthy, professional, calm	cool, corporate, stable
71	#1B4D7E	cool	deep	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
72	#2873BD	cool	dark	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
73	#5799DB	cool	mid	dark	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
74	#96BFE9	cool	light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
75	#D5E6F6	cool	ultra-light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
76	#1B347E	cool	deep	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
77	#284DBD	cool	dark	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
78	#5778DB	cool	mid	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
79	#96ABE9	cool	light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
80	#D5DDF6	cool	ultra-light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
81	#1B1B7E	cool	deep	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
82	#2828BD	cool	dark	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
83	#5757DB	cool	mid	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
84	#9696E9	cool	light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
85	#D5D5F6	cool	ultra-light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
86	#341B7E	neutral	deep	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
87	#4D28BD	neutral	dark	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
88	#7857DB	neutral	mid	dark	white	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
89	#AB96E9	neutral	light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
90	#DDD5F6	neutral	ultra-light	light	black	reliable, thoughtful, elegant	reliable, premium, stable	deep, trustworthy, technological
91	#4D1B7E	neutral	deep	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
92	#7328BD	neutral	dark	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
93	#9957DB	neutral	mid	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
94	#BF96E9	neutral	light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
95	#E6D5F6	neutral	ultra-light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
96	#651B7E	warm	deep	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
97	#9828BD	warm	dark	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
98	#BA57DB	warm	mid	dark	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
99	#D496E9	warm	light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
100	#EED5F6	warm	ultra-light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
101	#7E1B7E	warm	deep	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
102	#BD28BD	warm	dark	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
103	#DB57DB	warm	mid	dark	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
104	#E996E9	warm	light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
105	#F6D5F6	warm	ultra-light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
106	#7E1B65	warm	deep	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
107	#BD2898	warm	dark	dark	white	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
108	#DB57BA	warm	mid	dark	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
109	#E996D4	warm	light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
110	#F6D5EE	warm	ultra-light	light	black	creative, playful, expressive	creative, innovative, artistic	sophisticated, creative, premium
111	#7E1B4D	warm	deep	dark	white	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
112	#BD2873	warm	dark	dark	white	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
113	#DB5799	warm	mid	dark	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
114	#E996BF	warm	light	light	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
115	#F6D5E6	warm	ultra-light	light	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
116	#7E1B34	warm	deep	dark	white	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
117	#BD284D	warm	dark	dark	white	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
118	#DB5778	warm	mid	dark	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
119	#E996AB	warm	light	light	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
120	#F6D5DD	warm	ultra-light	light	black	romantic, confident, vibrant	expressive, modern, stylish	modern, expressive, confident
